L,p_c
4,0.532715
4,0.751465
4,0.617676
4,0.495605
4,0.611816
4,0.689941
4,0.451660
4,0.750488
4,0.497559
4,0.467285
4,0.479980
4,0.665527
4,0.467285
4,0.754395
4,0.374512
4,0.758301
4,0.433105
4,0.554199
4,0.574707
4,0.758301
4,0.629395
4,0.548340
4,0.750488
4,0.468262
4,0.365723
4,0.513184
4,0.540527
4,0.466309
4,0.627441
4,0.545410
4,0.590332
4,0.468262
4,0.586426
4,0.750488
4,0.559082
4,0.495605
4,0.628418
4,0.574707
4,0.719238
4,0.515137
4,0.494629
4,0.651855
4,0.493652
4,0.540527
4,0.592285
4,0.797363
4,0.645020
4,0.468262
4,0.498535
4,0.562988
4,0.487793
4,0.754395
4,0.781738
4,0.548340
4,0.758301
4,0.558105
4,0.662598
4,0.435059
4,0.656738
4,0.487793
4,0.405762
4,0.752441
4,0.642090
4,0.489746
4,0.643066
4,0.493652
4,0.595215
4,0.519043
4,0.629395
4,0.766113
4,0.530762
4,0.599121
4,0.591309
4,0.368652
4,0.488770
4,0.750488
4,0.463379
4,0.497559
4,0.560059
4,0.750488
4,0.812988
4,0.451660
4,0.496582
4,0.571777
4,0.645020
4,0.750488
4,0.629395
4,0.750488
4,0.499512
4,0.417480
4,0.751465
4,0.597168
4,0.478027
4,0.428223
4,0.688965
4,0.491699
4,0.590332
4,0.494629
4,0.645020
4,0.486816
4,0.708496
4,0.468262
4,0.497559
4,0.545410
4,0.560059
4,0.643066
4,0.487793
4,0.549316
4,0.498535
4,0.604004
4,0.565918
4,0.456543
4,0.554199
4,0.485840
4,0.543457
4,0.617676
4,0.494629
4,0.481934
4,0.553223
4,0.559082
4,0.661621
4,0.559082
4,0.875488
4,0.754395
4,0.518066
4,0.579590
4,0.562012
4,0.491699
4,0.396973
4,0.697754
4,0.579590
4,0.620605
4,0.497559
4,0.629395
4,0.613770
4,0.553223
4,0.631348
4,0.497559
4,0.506348
4,0.468262
4,0.495605
4,0.664551
4,0.703613
4,0.366699
4,0.604004
4,0.436035
4,0.437012
4,0.555176
4,0.587402
4,0.486816
4,0.563965
4,0.550293
4,0.483887
4,0.499512
4,0.485840
4,0.560059
4,0.751465
4,0.425293
4,0.691895
4,0.499512
4,0.484863
4,0.515137
4,0.676270
4,0.558105
4,0.643066
4,0.631348
4,0.625488
4,0.750488
4,0.612793
4,0.670410
4,0.563965
4,0.580566
4,0.526855
4,0.491699
4,0.466309
4,0.550293
4,0.466309
4,0.483887
4,0.750488
4,0.490723
4,0.530762
4,0.499512
4,0.627441
4,0.542480
4,0.571777
4,0.627441
4,0.693848
4,0.499512
4,0.634277
4,0.530762
4,0.548340
4,0.559082
4,0.617676
4,0.595215
4,0.476074
4,0.571777
4,0.488770
4,0.560059
4,0.625488
4,0.437012
4,0.500488
4,0.750488
4,0.750488
4,0.609863
4,0.494629
4,0.687988
4,0.494629
4,0.427246
4,0.571777
4,0.687988
4,0.629395
4,0.493652
4,0.560059
4,0.488770
4,0.481934
4,0.627441
4,0.681152
4,0.497559
4,0.493652
4,0.543457
4,0.719238
4,0.470215
4,0.602051
4,0.758301
4,0.602051
4,0.693848
4,0.602051
4,0.537598
4,0.553223
4,0.633301
4,0.597168
4,0.625488
4,0.471191
4,0.760254
4,0.750488
4,0.662598
4,0.812988
4,0.494629
4,0.687988
4,0.526855
4,0.536621
4,0.607910
4,0.576660
4,0.604004
4,0.750488
4,0.624512
4,0.498535
4,0.606934
4,0.466309
4,0.481934
4,0.372559
4,0.548340
4,0.545410
4,0.750488
4,0.609863
4,0.600098
4,0.750488
4,0.595215
4,0.488770
4,0.627441
4,0.543457
4,0.598145
4,0.629395
4,0.460449
4,0.475098
4,0.452637
4,0.750488
4,0.494629
4,0.490723
4,0.603027
4,0.664551
4,0.632324
4,0.559082
4,0.429199
4,0.687988
4,0.750488
4,0.750488
4,0.374512
4,0.560059
4,0.629395
4,0.687988
4,0.750488
4,0.421387
4,0.374512
4,0.560059
4,0.434082
4,0.605957
4,0.750488
4,0.489746
4,0.578613
4,0.535645
4,0.457520
4,0.570801
4,0.491699
4,0.490723
4,0.491699
4,0.630371
4,0.505371
4,0.483887
4,0.519043
4,0.597168
4,0.529785
4,0.630371
4,0.249512
4,0.516113
4,0.431152
4,0.719238
4,0.493652
4,0.633301
4,0.525879
4,0.467285
4,0.528809
4,0.750488
4,0.766113
4,0.494629
4,0.476074
4,0.625488
4,0.552246
4,0.689941
4,0.625488
4,0.625488
4,0.619629
4,0.719238
4,0.697754
4,0.598145
4,0.402832
4,0.812988
4,0.577637
4,0.366699
4,0.631348
4,0.437012
4,0.605957
4,0.437012
4,0.602051
4,0.628418
4,0.501465
4,0.587402
4,0.429199
4,0.249512
4,0.452637
4,0.561035
4,0.644043
4,0.678223
4,0.327637
4,0.458496
4,0.482910
4,0.464355
4,0.480957
4,0.596191
4,0.405762
4,0.664551
4,0.467285
4,0.750488
4,0.526855
4,0.576660
4,0.634277
4,0.630371
4,0.642090
4,0.770020
4,0.604004
4,0.523926
4,0.639160
4,0.483887
4,0.459473
4,0.562012
4,0.656738
4,0.652832
4,0.463379
4,0.750488
4,0.432129
4,0.427246
4,0.327637
4,0.603027
4,0.687988
4,0.766113
4,0.611816
4,0.682129
4,0.573730
4,0.650879
4,0.369629
4,0.781738
4,0.538574
4,0.515137
4,0.584473
4,0.468262
4,0.630371
4,0.689941
4,0.750488
4,0.523926
4,0.549316
4,0.629395
4,0.585449
4,0.753418
4,0.647949
4,0.598145
4,0.566895
4,0.644043
4,0.603027
4,0.557129
4,0.608887
4,0.750488
4,0.750488
4,0.509277
4,0.612793
4,0.482910
4,0.495605
4,0.516113
4,0.751465
4,0.435059
4,0.635254
4,0.625488
4,0.374512
4,0.553223
4,0.374512
4,0.577637
4,0.579590
4,0.483887
4,0.464355
4,0.528809
4,0.374512
4,0.499512
4,0.725098
4,0.437012
4,0.504395
4,0.528809
4,0.750488
4,0.437012
4,0.586426
4,0.750488
4,0.374512
4,0.448730
4,0.556152
4,0.503418
4,0.781738
4,0.625488
4,0.491699
4,0.645020
4,0.577637
4,0.703613
4,0.562988
4,0.437012
4,0.593262
4,0.562988
4,0.559082
4,0.607910
4,0.625488
4,0.540527
4,0.495605
4,0.627441
4,0.495605
4,0.561035
4,0.506348
4,0.634277
4,0.520996
4,0.533691
4,0.657715
4,0.619629
4,0.544434
4,0.631348
4,0.468262
4,0.482910
4,0.524902
4,0.538574
4,0.588379
4,0.437012
4,0.468262
4,0.616699
4,0.752441
4,0.625488
4,0.615723
4,0.569824
4,0.513184
4,0.495605
4,0.497559
4,0.468262
4,0.423340
4,0.636230
4,0.577637
4,0.529785
4,0.433105
4,0.592285
4,0.695801
4,0.584473
4,0.563965
4,0.497559
4,0.448730
4,0.499512
4,0.534668
4,0.664551
4,0.476074
4,0.479980
4,0.588379
4,0.691895
4,0.370605
4,0.522949
4,0.498535
4,0.658691
4,0.464355
4,0.343262
4,0.542480
4,0.656738
4,0.373535
4,0.403809
4,0.496582
4,0.538574
4,0.481934
4,0.505371
4,0.522949
4,0.374512
4,0.751465
4,0.542480
4,0.505371
4,0.687988
4,0.249512
4,0.465332
4,0.437012
4,0.463379
4,0.555176
4,0.431152
4,0.668457
4,0.602051
4,0.687988
4,0.542480
4,0.750488
4,0.590332
4,0.487793
4,0.462402
4,0.522949
4,0.366699
4,0.431152
4,0.562012
4,0.549316
4,0.490723
4,0.630371
4,0.586426
4,0.515137
4,0.617676
4,0.482910
4,0.781738
4,0.627441
4,0.498535
4,0.365723
4,0.249512
4,0.595215
4,0.648926
4,0.603027
4,0.752441
4,0.750488
4,0.514160
4,0.662598
4,0.462402
4,0.468262
4,0.467285
4,0.539551
4,0.549316
4,0.476074
4,0.633301
4,0.584473
4,0.719238
4,0.536621
4,0.437012
4,0.645996
4,0.766113
4,0.482910
4,0.596191
4,0.703613
4,0.520020
4,0.646973
4,0.491699
4,0.543457
4,0.479004
4,0.721191
4,0.598145
4,0.619629
4,0.635254
4,0.548340
4,0.374512
4,0.687988
4,0.687988
4,0.750488
4,0.538574
4,0.497559
4,0.374512
4,0.481934
4,0.610840
4,0.479980
4,0.605957
4,0.554199
4,0.493652
4,0.374512
4,0.568848
4,0.708496
4,0.374512
4,0.482910
4,0.580566
4,0.522949
4,0.625488
4,0.484863
4,0.751465
4,0.486816
4,0.812988
4,0.627441
4,0.520020
4,0.582520
4,0.561035
4,0.652832
4,0.596191
4,0.560059
4,0.613770
4,0.540527
4,0.479980
4,0.693848
4,0.476074
4,0.689941
4,0.627441
4,0.580566
4,0.631348
4,0.358887
4,0.648926
4,0.483887
4,0.626465
4,0.594238
4,0.433105
4,0.483887
4,0.493652
4,0.495605
4,0.560059
4,0.513184
4,0.374512
4,0.597168
4,0.468262
4,0.561035
4,0.492676
4,0.627441
4,0.481934
4,0.606934
4,0.562988
4,0.766113
4,0.373535
4,0.416504
4,0.554199
4,0.452637
4,0.599121
4,0.656738
4,0.554199
4,0.633301
4,0.750488
4,0.573730
4,0.569824
4,0.756348
4,0.482910
4,0.562012
4,0.510254
4,0.549316
4,0.437012
4,0.458496
4,0.573730
4,0.499512
4,0.628418
4,0.662598
4,0.486816
4,0.564941
4,0.492676
4,0.467285
4,0.592285
4,0.626465
4,0.567871
4,0.594238
4,0.597168
4,0.638184
4,0.627441
4,0.404785
4,0.429199
4,0.481934
4,0.500488
4,0.499512
4,0.553223
4,0.630371
4,0.493652
4,0.562988
4,0.648926
4,0.542480
4,0.608887
4,0.374512
4,0.661621
4,0.607910
4,0.600098
4,0.571777
4,0.635254
4,0.546387
4,0.358887
4,0.649902
4,0.464355
4,0.640137
4,0.457520
4,0.466309
4,0.656738
4,0.496582
4,0.591309
4,0.555176
4,0.437012
4,0.762207
4,0.504395
4,0.546387
4,0.483887
4,0.493652
4,0.638184
4,0.466309
4,0.540527
4,0.437012
4,0.582520
4,0.555176
4,0.519043
4,0.569824
4,0.566895
4,0.643066
4,0.474121
4,0.249512
4,0.374512
4,0.610840
4,0.666504
4,0.499512
4,0.527832
4,0.546387
4,0.481934
4,0.548340
4,0.437012
4,0.509277
4,0.498535
4,0.546387
4,0.631348
4,0.475098
4,0.466309
4,0.551270
4,0.476074
4,0.483887
4,0.687988
4,0.633301
4,0.625488
4,0.497559
4,0.588379
4,0.577637
4,0.370605
4,0.561035
4,0.579590
4,0.562988
4,0.431152
4,0.374512
4,0.429199
4,0.594238
4,0.495605
4,0.436035
4,0.751465
4,0.497559
4,0.503418
4,0.596191
4,0.444824
4,0.547363
4,0.593262
4,0.598145
4,0.622559
4,0.637207
4,0.666504
4,0.472168
4,0.643066
4,0.556152
4,0.479980
4,0.483887
4,0.659668
4,0.562012
4,0.468262
4,0.499512
4,0.435059
4,0.496582
4,0.520996
4,0.567871
4,0.466309
4,0.456543
4,0.653809
4,0.656738
4,0.466309
4,0.562988
4,0.534668
4,0.435059
4,0.752441
4,0.530762
4,0.483887
4,0.485840
4,0.467285
4,0.750488
4,0.557129
4,0.249512
4,0.482910
4,0.579590
4,0.583496
4,0.592285
4,0.499512
4,0.622559
4,0.665527
4,0.536621
4,0.602051
4,0.611816
4,0.499512
4,0.499512
4,0.588379
4,0.609863
4,0.630371
4,0.611816
4,0.644043
4,0.626465
4,0.585449
4,0.562012
4,0.530762
4,0.575684
4,0.645996
4,0.453613
4,0.625488
4,0.609863
4,0.466309
4,0.499512
4,0.632324
4,0.672363
4,0.555176
4,0.482910
4,0.578613
4,0.470215
4,0.554199
4,0.750488
4,0.421387
4,0.618652
4,0.575684
4,0.606934
4,0.643066
4,0.509277
4,0.605957
4,0.668457
4,0.447754
4,0.411621
4,0.674316
4,0.487793
4,0.582520
4,0.487793
4,0.562988
4,0.582520
4,0.556152
4,0.358887
4,0.390137
4,0.373535
4,0.590332
4,0.645020
4,0.750488
4,0.494629
4,0.479980
4,0.766113
4,0.559082
4,0.487793
4,0.482910
4,0.489746
4,0.427246
4,0.495605
4,0.750488
4,0.576660
4,0.374512
4,0.458496
4,0.566895
4,0.875488
4,0.483887
4,0.606934
4,0.499512
4,0.468262
4,0.750488
4,0.751465
4,0.528809
4,0.632324
4,0.750488
4,0.552246
4,0.468262
4,0.525879
4,0.472168
4,0.491699
4,0.532715
4,0.641113
4,0.532715
4,0.483887
4,0.632324
4,0.481934
4,0.750488
4,0.560059
4,0.750488
4,0.626465
4,0.468262
4,0.719238
4,0.578613
4,0.485840
4,0.641113
4,0.437012
4,0.781738
4,0.464355
4,0.476074
4,0.596191
4,0.594238
4,0.569824
4,0.494629
4,0.583496
4,0.618652
4,0.563965
4,0.750488
4,0.595215
4,0.474121
4,0.664551
4,0.421387
4,0.595215
4,0.750488
4,0.754395
4,0.581543
4,0.612793
4,0.466309
4,0.648926
4,0.515137
4,0.548340
4,0.605957
4,0.598145
4,0.608887
4,0.499512
4,0.520020
4,0.664551
4,0.374512
4,0.734863
4,0.498535
4,0.462402
4,0.625488
4,0.687988
4,0.468262
4,0.621582
4,0.577637
4,0.538574
4,0.498535
4,0.614746
4,0.461426
4,0.480957
4,0.582520
4,0.608887
4,0.607910
4,0.641113
4,0.565918
4,0.672363
4,0.437012
4,0.766113
4,0.425293
4,0.489746
4,0.636230
4,0.688965
4,0.547363
4,0.522949
4,0.750488
4,0.366699
4,0.750488
4,0.515137
4,0.537598
4,0.490723
4,0.532715
4,0.617676
4,0.546387
4,0.598145
4,0.389160
4,0.479980
4,0.547363
4,0.633301
4,0.605957
4,0.576660
4,0.437012
4,0.522949
4,0.629395
4,0.551270
4,0.658691
4,0.653809
4,0.572754
4,0.618652
4,0.650879
4,0.374512
4,0.499512
4,0.575684
4,0.550293
4,0.750488
4,0.525879
4,0.437012
4,0.491699
4,0.609863
4,0.491699
4,0.499512
4,0.437012
4,0.433105
4,0.672363
4,0.373535
4,0.556152
4,0.374512
4,0.574707
4,0.373535
4,0.600098
4,0.560059
4,0.466309
4,0.656738
4,0.466309
4,0.437012
4,0.472168
4,0.579590
4,0.674316
4,0.596191
4,0.667480
4,0.588379
4,0.569824
4,0.663574
4,0.374512
4,0.633301
4,0.621582
4,0.660645
4,0.498535
4,0.520020
4,0.656738
4,0.523926
4,0.410645
4,0.664551
4,0.534668
4,0.505371
4,0.627441
4,0.469238
4,0.495605
4,0.610840
4,0.573730
4,0.750488
4,0.499512
4,0.540527
4,0.374512
4,0.631348
4,0.468262
4,0.660645
4,0.563965
4,0.530762
4,0.477051
4,0.478027
4,0.509277
4,0.404785
4,0.688965
4,0.656738
4,0.605957
4,0.586426
4,0.544434
4,0.437012
4,0.520020
4,0.657715
4,0.249512
4,0.637207
4,0.493652
4,0.405762
4,0.485840
4,0.514160
4,0.626465
4,0.485840
4,0.478027
4,0.498535
4,0.704590
4,0.499512
4,0.577637
4,0.578613
4,0.750488
4,0.586426
4,0.566895
4,0.482910
4,0.568848
4,0.626465
4,0.586426
4,0.625488
4,0.479004
4,0.403809
4,0.483887
4,0.645020
4,0.249512
4,0.496582
4,0.639160
4,0.688965
4,0.642090
4,0.499512
4,0.624512
4,0.499512
4,0.482910
4,0.664551
4,0.612793
4,0.555176
4,0.532715
4,0.719238
4,0.595215
4,0.750488
4,0.491699
4,0.558105
4,0.750488
4,0.249512
4,0.249512
4,0.600098
4,0.435059
4,0.477051
4,0.502441
4,0.578613
4,0.629395
4,0.483887
4,0.754395
4,0.437012
4,0.574707
4,0.593262
4,0.750488
4,0.656738
4,0.750488
4,0.617676
4,0.554199
4,0.634277
4,0.468262
4,0.549316
4,0.754395
4,0.574707
4,0.534668
4,0.522949
4,0.541504
4,0.370605
4,0.474121
4,0.435059
4,0.621582
4,0.494629
4,0.754395
4,0.648926
4,0.483887
4,0.635254
4,0.405762
4,0.528809
4,0.656738
4,0.643066
4,0.645020
4,0.766113
4,0.750488
4,0.493652
4,0.524902
4,0.573730
4,0.578613
4,0.587402
4,0.635254
4,0.751465
4,0.625488
4,0.668457
4,0.247559
4,0.754395
4,0.680176
4,0.374512
4,0.472168
4,0.460449
4,0.558105
4,0.614746
4,0.812988
4,0.750488
4,0.750488
4,0.421387
4,0.650879
4,0.483887
4,0.483887
4,0.577637
4,0.629395
4,0.370605
4,0.487793
4,0.625488
4,0.614746
4,0.576660
4,0.594238
4,0.481934
4,0.482910
4,0.586426
4,0.645020
4,0.635254
4,0.249512
4,0.468262
4,0.506348
4,0.565918
4,0.514160
4,0.356934
4,0.556152
4,0.645020
4,0.635254
4,0.625488
4,0.538574
4,0.625488
4,0.437012
4,0.629395
4,0.641113
4,0.766113
4,0.557129
4,0.358887
4,0.483887
4,0.568848
4,0.483887
4,0.649902
4,0.372559
4,0.594238
4,0.633301
4,0.645020
4,0.482910
4,0.488770
4,0.395996
4,0.454590
4,0.571777
4,0.662598
4,0.499512
4,0.554199
4,0.538574
4,0.543457
4,0.658691
4,0.751465
4,0.487793
4,0.687988
4,0.358887
4,0.750488
4,0.538574
4,0.468262
4,0.637207
4,0.620605
4,0.498535
4,0.482910
4,0.597168
4,0.530762
4,0.499512
4,0.632324
4,0.629395
4,0.750488
4,0.513184
4,0.625488
4,0.692871
4,0.753418
4,0.625488
4,0.405762
4,0.766113
4,0.636230
4,0.550293
4,0.627441
4,0.594238
4,0.591309
4,0.687988
4,0.781738
4,0.781738
4,0.551270
4,0.578613
4,0.750488
4,0.468262
4,0.688965
4,0.569824
4,0.766113
4,0.755371
4,0.607910
4,0.563965
4,0.547363
4,0.633301
4,0.466309
4,0.602051
4,0.498535
4,0.249512
4,0.485840
4,0.488770
4,0.656738
4,0.695801
4,0.605957
4,0.542480
4,0.699707
4,0.452637
4,0.569824
4,0.535645
4,0.629395
4,0.468262
4,0.429199
4,0.563965
4,0.463379
4,0.435059
4,0.249512
4,0.625488
4,0.750488
4,0.499512
4,0.630371
4,0.544434
4,0.511230
4,0.612793
4,0.719238
4,0.547363
4,0.612793
4,0.249512
4,0.405762
4,0.563965
4,0.656738
4,0.530762
4,0.634277
4,0.656738
4,0.641113
4,0.750488
4,0.613770
4,0.637207
4,0.631348
4,0.643066
4,0.649902
4,0.405762
4,0.498535
4,0.760254
4,0.464355
4,0.593262
4,0.703613
4,0.613770
4,0.491699
4,0.569824
4,0.547363
4,0.559082
4,0.631348
4,0.750488
4,0.711426
4,0.645020
4,0.560059
4,0.583496
4,0.551270
4,0.468262
4,0.546387
4,0.600098
4,0.673340
4,0.516113
4,0.606934
4,0.575684
4,0.701660
4,0.579590
4,0.626465
4,0.688965
4,0.421387
4,0.564941
4,0.491699
4,0.249512
4,0.576660
4,0.575684
4,0.820801
4,0.544434
4,0.434082
4,0.460449
4,0.448730
4,0.578613
4,0.560059
4,0.420410
4,0.557129
4,0.437012
4,0.476074
4,0.443848
4,0.437012
4,0.476074
4,0.758301
4,0.676270
4,0.497559
4,0.689941
4,0.529785
4,0.538574
4,0.534668
4,0.517090
4,0.425293
4,0.511230
4,0.514160
4,0.468262
4,0.542480
4,0.629395
4,0.573730
4,0.621582
4,0.490723
4,0.491699
4,0.695801
4,0.460449
4,0.526855
4,0.460449
4,0.633301
4,0.666504
4,0.505371
4,0.495605
4,0.354980
4,0.640137
4,0.497559
4,0.374512
4,0.637207
4,0.437012
4,0.680176
4,0.590332
4,0.463379
4,0.562988
4,0.758301
4,0.618652
4,0.482910
4,0.552246
4,0.374512
4,0.580566
4,0.632324
4,0.565918
4,0.573730
4,0.551270
4,0.560059
4,0.536621
4,0.627441
4,0.656738
4,0.491699
4,0.613770
4,0.436035
4,0.766113
4,0.530762
4,0.489746
4,0.523926
4,0.668457
4,0.514160
4,0.475098
4,0.475098
4,0.549316
4,0.567871
4,0.513184
4,0.462402
4,0.561035
4,0.584473
4,0.558105
4,0.527832
4,0.491699
4,0.574707
4,0.490723
4,0.785645
4,0.750488
4,0.629395
4,0.599121
4,0.689941
4,0.750488
4,0.647949
4,0.766113
4,0.643066
4,0.538574
4,0.562012
4,0.642090
4,0.576660
4,0.482910
4,0.615723
4,0.343262
4,0.527832
4,0.579590
4,0.581543
4,0.466309
4,0.576660
4,0.625488
4,0.585449
4,0.604980
4,0.569824
4,0.510254
4,0.695801
4,0.629395
4,0.625488
4,0.554199
4,0.781738
4,0.750488
4,0.750488
4,0.540527
4,0.563965
4,0.596191
4,0.612793
4,0.497559
4,0.524902
4,0.557129
4,0.374512
4,0.433105
4,0.437012
4,0.750488
4,0.595215
4,0.797363
4,0.649902
4,0.521973
4,0.488770
4,0.626465
4,0.487793
4,0.633301
4,0.754395
4,0.563965
4,0.645020
4,0.491699
4,0.696777
4,0.617676
4,0.750488
4,0.567871
4,0.565918
4,0.437012
4,0.644043
4,0.545410
4,0.458496
4,0.543457
4,0.770020
4,0.576660
4,0.587402
4,0.619629
4,0.494629
4,0.437012
4,0.691895
4,0.529785
4,0.540527
4,0.499512
4,0.452637
4,0.374512
4,0.526855
4,0.604980
4,0.374512
4,0.476074
4,0.493652
4,0.569824
4,0.536621
4,0.581543
4,0.374512
4,0.627441
4,0.563965
4,0.721191
4,0.483887
4,0.553223
4,0.489746
4,0.518066
4,0.689941
4,0.750488
4,0.482910
4,0.467285
4,0.613770
4,0.660645
4,0.495605
4,0.707520
4,0.565918
4,0.750488
4,0.472168
4,0.421387
4,0.656738
4,0.490723
4,0.536621
4,0.646973
4,0.374512
4,0.664551
4,0.589355
4,0.635254
4,0.496582
4,0.483887
4,0.472168
4,0.460449
4,0.599121
4,0.559082
4,0.496582
4,0.458496
4,0.605957
4,0.641113
4,0.645020
4,0.572754
4,0.483887
4,0.564941
4,0.637207
4,0.656738
4,0.625488
4,0.587402
4,0.781738
4,0.573730
4,0.611816
4,0.435059
4,0.561035
4,0.374512
4,0.600098
4,0.626465
4,0.492676
4,0.633301
4,0.249512
4,0.750488
4,0.452637
4,0.530762
4,0.750488
4,0.483887
4,0.530762
4,0.605957
4,0.695801
4,0.468262
4,0.491699
4,0.640137
4,0.534668
4,0.546387
4,0.661621
4,0.750488
4,0.635254
4,0.541504
4,0.609863
4,0.658691
4,0.551270
4,0.497559
4,0.486816
4,0.598145
4,0.546387
4,0.495605
4,0.750488
4,0.750488
4,0.625488
4,0.499512
4,0.642090
4,0.687988
4,0.781738
4,0.639160
4,0.626465
4,0.672363
4,0.643066
4,0.546387
4,0.564941
4,0.513184
4,0.781738
4,0.553223
4,0.577637
4,0.476074
4,0.494629
4,0.563965
4,0.750488
4,0.334473
4,0.437012
4,0.551270
4,0.574707
4,0.497559
4,0.495605
4,0.452637
4,0.556152
4,0.593262
4,0.443848
4,0.558105
4,0.750488
4,0.657715
4,0.537598
4,0.565918
4,0.557129
4,0.585449
4,0.499512
4,0.618652
4,0.522949
4,0.559082
4,0.499512
4,0.627441
4,0.526855
4,0.673340
4,0.420410
4,0.562012
4,0.466309
4,0.554199
4,0.412598
4,0.561035
4,0.703613
4,0.566895
4,0.689941
4,0.554199
4,0.636230
4,0.750488
4,0.372559
4,0.578613
4,0.633301
4,0.468262
4,0.474121
4,0.514160
4,0.499512
4,0.627441
4,0.750488
4,0.499512
4,0.526855
4,0.648926
4,0.464355
4,0.550293
4,0.454590
4,0.621582
4,0.437012
4,0.491699
4,0.544434
4,0.498535
4,0.560059
4,0.661621
4,0.490723
4,0.475098
4,0.474121
4,0.650879
4,0.539551
4,0.750488
4,0.684082
4,0.812988
4,0.626465
4,0.630371
4,0.414551
4,0.568848
4,0.565918
4,0.482910
4,0.545410
4,0.750488
4,0.450684
4,0.499512
4,0.437012
4,0.304199
4,0.507324
4,0.374512
4,0.680176
4,0.703613
4,0.688965
4,0.522949
4,0.499512
4,0.564941
4,0.599121
4,0.429199
4,0.499512
4,0.576660
4,0.632324
4,0.435059
4,0.456543
4,0.656738
4,0.638184
4,0.526855
4,0.577637
4,0.491699
4,0.531738
4,0.580566
4,0.625488
4,0.750488
4,0.664551
4,0.507324
4,0.691895
4,0.504395
4,0.561035
4,0.495605
4,0.627441
4,0.560059
4,0.522949
4,0.668457
4,0.719238
4,0.625488
4,0.488770
4,0.690918
4,0.595215
4,0.607910
4,0.374512
4,0.709473
4,0.689941
4,0.646973
4,0.582520
4,0.358887
4,0.633301
4,0.374512
4,0.594238
4,0.630371
4,0.449707
4,0.633301
4,0.491699
4,0.656738
4,0.542480
4,0.626465
4,0.569824
4,0.494629
4,0.617676
4,0.482910
4,0.695801
4,0.433105
4,0.568848
4,0.678223
4,0.598145
4,0.610840
4,0.491699
4,0.631348
4,0.491699
4,0.429199
4,0.534668
4,0.550293
4,0.552246
4,0.405762
4,0.498535
4,0.581543
4,0.536621
4,0.249512
4,0.626465
4,0.629395
4,0.637207
4,0.625488
4,0.530762
4,0.598145
4,0.450684
4,0.687988
4,0.468262
4,0.660645
4,0.530762
4,0.587402
4,0.569824
4,0.579590
4,0.616699
4,0.483887
4,0.497559
4,0.623535
4,0.622559
4,0.676270
4,0.608887
4,0.601074
4,0.651855
4,0.517090
4,0.541504
4,0.613770
4,0.499512
4,0.550293
4,0.704590
4,0.785645
4,0.481934
4,0.554199
4,0.462402
4,0.515137
4,0.602051
4,0.628418
4,0.609863
4,0.343262
4,0.659668
4,0.502441
4,0.484863
4,0.688965
4,0.467285
4,0.750488
4,0.483887
4,0.468262
4,0.493652
4,0.497559
4,0.468262
4,0.549316
4,0.452637
4,0.814941
4,0.766113
4,0.528809
4,0.498535
4,0.614746
4,0.691895
4,0.468262
4,0.374512
4,0.605957
4,0.466309
4,0.483887
4,0.750488
4,0.450684
4,0.750488
4,0.595215
4,0.529785
4,0.629395
4,0.536621
4,0.653809
4,0.529785
4,0.664551
4,0.636230
4,0.560059
4,0.633301
4,0.515137
4,0.491699
4,0.528809
4,0.499512
4,0.578613
4,0.603027
4,0.603027
4,0.588379
4,0.624512
4,0.530762
4,0.703613
4,0.602051
4,0.626465
4,0.563965
4,0.590332
4,0.626465
4,0.625488
4,0.491699
4,0.664551
4,0.497559
4,0.629395
4,0.634277
4,0.573730
4,0.543457
4,0.567871
4,0.633301
4,0.550293
4,0.374512
4,0.754395
4,0.540527
4,0.609863
4,0.649902
4,0.609863
4,0.491699
4,0.656738
4,0.530762
4,0.750488
4,0.535645
4,0.588379
4,0.568848
4,0.479980
4,0.515137
4,0.750488
4,0.499512
4,0.721191
4,0.690918
4,0.602051
4,0.655762
4,0.665527
4,0.437012
4,0.750488
4,0.633301
4,0.499512
4,0.467285
4,0.430176
4,0.584473
4,0.520020
4,0.249512
4,0.373535
4,0.620605
4,0.637207
4,0.571777
4,0.496582
4,0.750488
4,0.397949
4,0.635254
4,0.656738
4,0.673340
4,0.491699
4,0.515137
4,0.529785
4,0.571777
4,0.543457
4,0.521973
4,0.357910
4,0.588379
4,0.539551
4,0.435059
4,0.631348
4,0.405762
4,0.562988
4,0.719238
4,0.487793
4,0.541504
4,0.437012
4,0.590332
4,0.495605
4,0.560059
4,0.511230
4,0.480957
4,0.437012
4,0.499512
4,0.645020
4,0.554199
4,0.542480
4,0.637207
4,0.468262
4,0.528809
4,0.498535
4,0.565918
4,0.495605
4,0.664551
4,0.468262
4,0.528809
4,0.553223
4,0.499512
4,0.491699
4,0.561035
4,0.566895
4,0.501465
4,0.494629
4,0.590332
4,0.689941
4,0.482910
4,0.457520
4,0.417480
4,0.759277
4,0.468262
4,0.544434
4,0.575684
4,0.476074
4,0.643066
4,0.668457
4,0.499512
4,0.460449
4,0.608887
4,0.630371
4,0.617676
4,0.668457
4,0.495605
4,0.645020
4,0.413574
4,0.596191
4,0.783691
4,0.656738
4,0.543457
4,0.464355
4,0.750488
4,0.489746
4,0.437012
4,0.751465
4,0.241699
4,0.571777
4,0.605957
4,0.475098
4,0.629395
4,0.600098
4,0.563965
4,0.602051
4,0.643066
4,0.590332
4,0.658691
4,0.750488
4,0.664551
4,0.523926
4,0.672363
4,0.648926
